CNN,STREET,COLOR
22585000,OCEAN,YELLOW
22585000,PLYMOUTH,RED
22654000,FAXON,YELLOW
22654000,OCEAN,RED
30748000,MARKET,RED
30748000,SOUTH VAN NESS,YELLOW
30748000,VAN NESS,RED
24543000,02ND ST,YELLOW
24543000,NATOMA,RED
20498000,03RD ST,RED
20498000,BAYVIEW,YELLOW
20498000,REVERE,RED
186101,03RD ST,RED
186101,MIDBLOCK AT,RED
186101,16TH ST,YELLOW
186101,MARIPOSA,RED
25304000,JACKSON,YELLOW
25304000,POLK,RED
22053000,ALEMANY,YELLOW
22053000,SENECA,RED
33540000,BROTHERHOOD,YELLOW
33540000,LAKE MERCED,RED
24913000,MASON,YELLOW
24913000,O'FARRELL,RED
33375000,DIAMOND,YELLOW
33375000,MONTEREY,RED
25190000,ELLIS,YELLOW
25190000,VAN NESS,RED
26436000,OAK,YELLOW
26436000,SHRADER,RED
24734000,MONTGOMERY,YELLOW
24734000,SACRAMENTO,RED
26372000,CENTRAL,YELLOW
26372000,FULTON,RED
21743000,MISSION,YELLOW
21743000,OCEAN,RED
26002000,OAK,YELLOW
26002000,PIERCE,RED
27737000,IRVING,YELLOW
27737000,SUNSET,RED
27156000,09TH AVE,YELLOW
27156000,LINCOLN,RED
2800102,BAYSHORE,RED
2800102,MIDBLOCK AT,RED
2800102,CORTLAND,YELLOW
2800102,FLOWER,RED
24919000,MASON,YELLOW
24919000,POST,RED
23775000,16TH ST,YELLOW
23775000,KANSAS,RED
21485000,MISSION,RED
21485000,NIAGARA,RED
21485000,POPE,YELLOW
21485000,ROLPH,RED
26302000,PARNASSUS,YELLOW
26302000,STANYAN,RED
23150000,19TH AVE,YELLOW
23150000,WAWONA,RED
27954000,45TH AVE,YELLOW
27954000,LINCOLN,RED
26199000,CARMEL,RED
26199000,CLAYTON,YELLOW
26199000,TWIN PEAKS,RED
26486000,STANYAN,YELLOW
26486000,TURK,RED
22285000,MALTA,YELLOW
22285000,O'SHAUGHNESSY,RED
27611000,12TH AVE,YELLOW
27611000,CALIFORNIA,RED
